Department,Number,Type,Year,Quarter,Concentration
AERO,121,Major,First,Fall,
AERO,215,Major,Second,Fall,
AERO,220,Major,Second,Winter,
AERO,299,Major,Second,Spring,
AERO,300,Major,Second,Spring,
AERO,302,Major,Third,Fall,
AERO,303,Major,Third,Winter,
AERO,306,Concentration,Third,Fall,Aeronautics
AERO,307,Concentration,Third,Spring,Aeronautics
AERO,320,Major,Third,Fall,
AERO,321,Major,Third,Fall,
AERO,331,Major,Third,Winter,
AERO,350,Major,Third,Spring,
AERO,351,Concentration,Third,Fall,Astronautics
AERO,355,Concentration,Third,Winter,Astronautics
AERO,356,Concentration,Third,Spring,Astronautics
AERO,401,Concentration,Fourth,Fall,Aeronautics
AERO,402,Concentration,Fourth,Fall,Astronautics
AERO,405,Concentration,Third,Spring,Aeronautics
AERO,420,Concentration,Third,Winter,Aeronautics
AERO,421,Concentration,Third,Winter,Astronautics
AERO,431,Major,Third,Spring,
AERO,433,Major,Fourth,Fall,
AERO,443,Concentration,Fourth,Fall,Aeronautics
AERO,444,Concentration,Fourth,Winter,Aeronautics
AERO,445,Concentration,Fourth,Spring,Aeronautics
AERO,446,Concentration,Third,Spring,Astronautics
AERO,447,Concentration,Fourth,Fall,Astronautics
AERO,448,Concentration,Fourth,Winter,Astronautics
AERO,449,Concentration,Fourth,Spring,Astronautics
AERO,460,Major,Fourth,Fall,
AERO,465,Major,Fourth,Winter,
CE,204,Major,Second,Winter,
CE,207,Major,Second,Spring,
EE,201,Major,Second,Spring,
EE,251,Major,Second,Spring,
MATH,141,Support,First,Fall,
MATH,142,Support,First,Winter,
MATH,143,Support,First,Spring,
MATH,241,Support,Second,Fall,
MATH,244,Support,Second,Winter,
PHYS,141,Support,First,Winter,
PHYS,132,Support,First,Spring,
PHYS,133,Support,Second,Fall,
CHEM,124,Support,First,Winter,
IME,144,Support,First,Fall,
ENGL,134,Support,First,Fall,
COMS,101,Support,First,Winter,
ME,211,Support,Second,Fall,
ME,212,Support,Second,Winter,
BIO,213,Support,Second,Fall,
BMED,213,Support,Second,Fall,
ENGL,149,Support,First,Spring,
STAT,312,Support,Third,Fall,
